,Class
256,0
620,1
377,0
327,0
465,1
404,1
771,1
332,0
324,0
444,1
9,0
249,0
22,0
221,0
644,1
679,1
772,1
442,1
660,1
203,0
237,0
93,0
719,1
388,0
494,1
284,0
184,0
639,1
383,0
153,0
75,0
440,1
277,0
68,0
684,1
188,0
271,0
236,0
88,0
670,1
117,0
125,0
649,1
289,0
238,0
0,0
779,1
717,1
689,1
743,1
278,0
617,1
116,0
228,0
559,1
786,1
542,1
274,0
318,0
544,1
144,0
501,1
493,1
715,1
578,1
369,0
268,0
755,1
307,0
310,0
589,1
46,0
349,0
371,0
516,1
261,0
195,0
787,1
769,1
107,0
59,0
683,1
426,1
100,0
464,1
707,1
576,1
608,1
179,0
304,0
506,1
575,1
759,1
149,0
124,0
626,1
756,1
185,0
534,1
50,0
634,1
777,1
457,1
321,0
353,0
728,1
142,0
370,0
141,0
399,1
263,0
320,0
19,0
172,0
643,1
312,0
390,0
734,1
12,0
407,1
408,1
305,0
354,0
25,0
590,1
169,0
38,0
175,0
245,0
298,0
657,1
416,1
541,1
272,0
604,1
154,0
126,0
449,1
730,1
341,0
430,1
287,0
113,0
648,1
173,0
359,0
521,1
57,0
545,1
222,0
280,0
17,0
127,0
322,0
255,0
531,1
470,1
591,1
468,1
757,1
190,0
115,0
698,1
568,1
94,0
180,0
301,0
652,1
583,1
554,1
551,1
697,1
535,1
5,0
773,1
45,0
714,1
157,0
598,1
171,0
16,0
48,0
763,1
723,1
3,0
570,1
557,1
316,0
633,1
480,1
447,1
727,1
283,0
96,0
285,0
529,1
225,0
26,0
622,1
437,1
364,0
229,0
37,0
758,1
374,0
469,1
760,1
671,1
585,1
194,0
673,1
682,1
503,1
762,1
658,1
761,1
162,0
745,1
152,0
567,1
597,1
605,1
111,0
226,0
637,1
103,0
421,1
419,1
119,0
53,0
151,0
403,1
742,1
207,0
666,1
611,1
8,0
641,1
36,0
452,1
253,0
303,0
599,1
572,1
580,1
262,0
297,0
414,1
150,0
628,1
703,1
550,1
488,1
147,0
146,0
581,1
731,1
594,1
348,0
463,1
325,0
186,0
123,0
672,1
143,0
752,1
197,0
279,0
293,0
400,1
122,0
183,0
202,0
438,1
246,0
415,1
782,1
129,0
402,1
624,1
616,1
716,1
219,0
718,1
602,1
721,1
610,1
386,0
764,1
509,1
267,0
650,1
441,1
496,1
112,0
232,0
687,1
607,1
373,0
233,0
625,1
317,0
410,1
706,1
358,0
258,0
282,0
376,0
384,0
224,0
748,1
740,1
472,1
347,0
505,1
776,1
729,1
711,1
619,1
751,1
667,1
556,1
577,1
85,0
242,0
159,0
524,1
35,0
540,1
170,0
676,1
668,1
741,1
95,0
563,1
240,0
574,1
460,1
553,1
693,1
206,0
392,0
397,1
669,1
217,0
4,0
642,1
705,1
612,1
546,1
98,0
573,1
406,1
502,1
47,0
32,0
200,0
134,0
27,0
695,1
230,0
489,1
378,0
288,0
418,1
674,1
391,0
592,1
498,1
138,0
62,0
471,1
647,1
128,0
767,1
520,1
64,0
14,0
156,0
40,0
492,1
379,0
187,0
216,0
52,0
337,0
295,0
701,1
251,0
461,1
455,1
785,1
269,0
201,0
161,0
555,1
401,1
702,1
476,1
105,0
565,1
389,0
1,0
736,1
561,1
80,0
205,0
34,0
508,1
427,1
454,1
366,0
91,0
339,0
564,1
345,0
241,0
13,0
315,0
600,1
387,0
273,0
166,0
781,1
646,1
484,1
770,1
504,1
243,0
566,1
562,1
686,1
189,0
699,1
475,1
681,1
510,1
58,0
474,1
560,1
747,1
252,0
21,0
313,0
459,1
160,0
276,0
191,0
385,0
413,1
491,1
343,0
308,0
661,1
130,0
663,1
99,0
372,0
87,0
458,1
330,0
214,0
466,1
121,0
614,1
20,0
700,1
71,0
106,0
270,0
435,1
102,0
